Theta	E_f	T_f_abl	T_f_kreuz	E_af	T_af_abl	T_af_kreuz
170	0.335156	0.0590971	0.0590971	-0.129234	0.0227874	0.0227874
171	0.336137	0.0532388	0.0532388	-0.129612	0.0205285	0.0205285
172	0.337015	0.0473643	0.0473643	-0.12995	0.0182633	0.0182633
173	0.33779	0.0414754	0.0414754	-0.130249	0.0159926	0.0159926
174	0.338462	0.0355738	0.0355738	-0.130509	0.013717	0.013717
175	0.339032	0.0296614	0.0296614	-0.130728	0.0114372	0.0114372
176	0.339498	0.02374	0.02374	-0.130908	0.00915397	0.00915397
177	0.33986	0.0178113	0.0178113	-0.131048	0.00686792	0.00686792
178	0.340119	0.0118772	0.0118772	-0.131148	0.00457978	0.00457978
179	0.340275	0.00593952	0.00593952	-0.131208	0.00229024	0.00229024
180	0.340327	5.55112e-10	3.66286e-15	-0.131228	4.16334e-10	1.41471e-15
181	0.340275	0.00593952	0.00593952	-0.131208	0.00229024	0.00229024
182	0.340119	0.0118772	0.0118772	-0.131148	0.00457978	0.00457978
183	0.33986	0.0178113	0.0178113	-0.131048	0.00686792	0.00686792
184	0.339498	0.02374	0.02374	-0.130908	0.00915397	0.00915397
185	0.339032	0.0296614	0.0296614	-0.130728	0.0114372	0.0114372
186	0.338462	0.0355738	0.0355738	-0.130509	0.013717	0.013717
187	0.33779	0.0414754	0.0414754	-0.130249	0.0159926	0.0159926
188	0.337015	0.0473643	0.0473643	-0.12995	0.0182633	0.0182633
189	0.336137	0.0532388	0.0532388	-0.129612	0.0205285	0.0205285
190	0.335156	0.0590971	0.0590971	-0.129234	0.0227874	0.0227874
191	0.334074	0.0649374	0.0649374	-0.128817	0.0250394	0.0250394
192	0.33289	0.0707579	0.0707579	-0.12836	0.0272837	0.0272837
193	0.331604	0.0765568	0.0765568	-0.127864	0.0295198	0.0295198
194	0.330217	0.0823325	0.0823325	-0.12733	0.0317468	0.0317468
195	0.32873	0.088083	0.088083	-0.126756	0.0339642	0.0339642
196	0.327143	0.0938067	0.0938067	-0.126144	0.0361712	0.0361712
197	0.325456	0.0995019	0.0995019	-0.125494	0.0383672	0.0383672
198	0.32367	0.105167	0.105167	-0.124805	0.0405516	0.0405516
199	0.321785	0.1108	0.1108	-0.124078	0.0427235	0.0427235
200	0.319802	0.116399	0.116399	-0.123314	0.0448825	0.0448825
201	0.317722	0.121962	0.121962	-0.122511	0.0470278	0.0470278
202	0.315545	0.127489	0.127489	-0.121672	0.0491587	0.0491587
203	0.313272	0.132976	0.132976	-0.120796	0.0512747	0.0512747
204	0.310904	0.138423	0.138423	-0.119882	0.0533751	0.0533751
205	0.308441	0.143828	0.143828	-0.118933	0.0554592	0.0554592
206	0.305884	0.149189	0.149189	-0.117947	0.0575264	0.0575264
207	0.303233	0.154505	0.154505	-0.116925	0.0595761	0.0595761
208	0.300491	0.159774	0.159774	-0.115867	0.0616076	0.0616076
209	0.297656	0.164994	0.164994	-0.114774	0.0636204	0.0636204
210	0.294731	0.170163	0.170163	-0.113646	0.0656138	0.0656138
211	0.291717	0.175281	0.175281	-0.112484	0.0675872	0.0675872
212	0.288613	0.180346	0.180346	-0.111287	0.06954	0.06954
213	0.285422	0.185355	0.185355	-0.110057	0.0714717	0.0714717
214	0.282144	0.190308	0.190308	-0.108793	0.0733815	0.0733815
215	0.278779	0.195203	0.195203	-0.107495	0.075269	0.075269
216	0.27533	0.200039	0.200039	-0.106165	0.0771336	0.0771336
217	0.271797	0.204814	0.204814	-0.104803	0.0789747	0.0789747
218	0.268181	0.209526	0.209526	-0.103409	0.0807918	0.0807918
219	0.264483	0.214174	0.214174	-0.101983	0.0825842	0.0825842
220	0.260705	0.218758	0.218758	-0.100526	0.0843515	0.0843515
221	0.256848	0.223274	0.223274	-0.0990387	0.086093	0.086093
222	0.252912	0.227723	0.227723	-0.0975211	0.0878084	0.0878084
223	0.248899	0.232102	0.232102	-0.0959738	0.089497	0.089497
224	0.24481	0.236411	0.236411	-0.0943972	0.0911583	0.0911583
225	0.240647	0.240647	0.240647	-0.0927919	0.0927919	0.0927919
226	0.236411	0.24481	0.24481	-0.0911583	0.0943972	0.0943972
227	0.232102	0.248899	0.248899	-0.089497	0.0959738	0.0959738
228	0.227723	0.252912	0.252912	-0.0878084	0.0975211	0.0975211
229	0.223274	0.256848	0.256848	-0.086093	0.0990387	0.0990387
230	0.218758	0.260705	0.260705	-0.0843515	0.100526	0.100526
231	0.214174	0.264483	0.264483	-0.0825842	0.101983	0.101983
232	0.209526	0.268181	0.268181	-0.0807918	0.103409	0.103409
233	0.204814	0.271797	0.271797	-0.0789747	0.104803	0.104803
234	0.200039	0.27533	0.27533	-0.0771336	0.106165	0.106165
235	0.195203	0.278779	0.278779	-0.075269	0.107495	0.107495
236	0.190308	0.282144	0.282144	-0.0733815	0.108793	0.108793
237	0.185355	0.285422	0.285422	-0.0714717	0.110057	0.110057
238	0.180346	0.288613	0.288613	-0.06954	0.111287	0.111287
239	0.175281	0.291717	0.291717	-0.0675872	0.112484	0.112484
240	0.170163	0.294731	0.294731	-0.0656138	0.113646	0.113646
241	0.164994	0.297656	0.297656	-0.0636204	0.114774	0.114774
242	0.159774	0.300491	0.300491	-0.0616076	0.115867	0.115867
243	0.154505	0.303233	0.303233	-0.0595761	0.116925	0.116925
244	0.149189	0.305884	0.305884	-0.0575264	0.117947	0.117947
245	0.143828	0.308441	0.308441	-0.0554592	0.118933	0.118933
246	0.138423	0.310904	0.310904	-0.0533751	0.119882	0.119882
247	0.132976	0.313272	0.313272	-0.0512747	0.120796	0.120796
248	0.127489	0.315545	0.315545	-0.0491587	0.121672	0.121672
249	0.121962	0.317722	0.317722	-0.0470278	0.122511	0.122511
250	0.116399	0.319802	0.319802	-0.0448825	0.123314	0.123314
251	0.1108	0.321785	0.321785	-0.0427235	0.124078	0.124078
252	0.105167	0.32367	0.32367	-0.0405516	0.124805	0.124805
253	0.0995019	0.325456	0.325456	-0.0383672	0.125494	0.125494
254	0.0938067	0.327143	0.327143	-0.0361712	0.126144	0.126144
255	0.088083	0.32873	0.32873	-0.0339642	0.126756	0.126756
256	0.0823325	0.330217	0.330217	-0.0317468	0.12733	0.12733
257	0.0765568	0.331604	0.331604	-0.0295198	0.127864	0.127864
258	0.0707579	0.33289	0.33289	-0.0272837	0.12836	0.12836
259	0.0649374	0.334074	0.334074	-0.0250394	0.128817	0.128817
260	0.0590971	0.335156	0.335156	-0.0227874	0.129234	0.129234
261	0.0532388	0.336137	0.336137	-0.0205285	0.129612	0.129612
262	0.0473643	0.337015	0.337015	-0.0182633	0.12995	0.12995
263	0.0414754	0.33779	0.33779	-0.0159926	0.130249	0.130249
264	0.0355738	0.338462	0.338462	-0.013717	0.130509	0.130509
265	0.0296614	0.339032	0.339032	-0.0114372	0.130728	0.130728
266	0.02374	0.339498	0.339498	-0.00915397	0.130908	0.130908
267	0.0178113	0.33986	0.33986	-0.00686792	0.131048	0.131048
268	0.0118772	0.340119	0.340119	-0.00457978	0.131148	0.131148
269	0.00593952	0.340275	0.340275	-0.00229024	0.131208	0.131208
270	9.76476e-15	0.340327	0.340327	-3.7444e-15	0.131228	0.131228
271	-0.00593952	0.340275	0.340275	0.00229024	0.131208	0.131208
272	-0.0118772	0.340119	0.340119	0.00457978	0.131148	0.131148
273	-0.0178113	0.33986	0.33986	0.00686792	0.131048	0.131048
274	-0.02374	0.339498	0.339498	0.00915397	0.130908	0.130908
275	-0.0296614	0.339032	0.339032	0.0114372	0.130728	0.130728
276	-0.0355738	0.338462	0.338462	0.013717	0.130509	0.130509
277	-0.0414754	0.33779	0.33779	0.0159926	0.130249	0.130249
278	-0.0473643	0.337015	0.337015	0.0182633	0.12995	0.12995
279	-0.0532388	0.336137	0.336137	0.0205285	0.129612	0.129612
280	-0.0590971	0.335156	0.335156	0.0227874	0.129234	0.129234
281	-0.0649374	0.334074	0.334074	0.0250394	0.128817	0.128817
282	-0.0707579	0.33289	0.33289	0.0272837	0.12836	0.12836
283	-0.0765568	0.331604	0.331604	0.0295198	0.127864	0.127864
284	-0.0823325	0.330217	0.330217	0.0317468	0.12733	0.12733
285	-0.088083	0.32873	0.32873	0.0339642	0.126756	0.126756
286	-0.0938067	0.327143	0.327143	0.0361712	0.126144	0.126144
287	-0.0995019	0.325456	0.325456	0.0383672	0.125494	0.125494
288	-0.105167	0.32367	0.32367	0.0405516	0.124805	0.124805
289	-0.1108	0.321785	0.321785	0.0427235	0.124078	0.124078
290	-0.116399	0.319802	0.319802	0.0448825	0.123314	0.123314
291	-0.121962	0.317722	0.317722	0.0470278	0.122511	0.122511
292	-0.127489	0.315545	0.315545	0.0491587	0.121672	0.121672
293	-0.132976	0.313272	0.313272	0.0512747	0.120796	0.120796
294	-0.138423	0.310904	0.310904	0.0533751	0.119882	0.119882
295	-0.143828	0.308441	0.308441	0.0554592	0.118933	0.118933
296	-0.149189	0.305884	0.305884	0.0575264	0.117947	0.117947
297	-0.154505	0.303233	0.303233	0.0595761	0.116925	0.116925
298	-0.159774	0.300491	0.300491	0.0616076	0.115867	0.115867
299	-0.164994	0.297656	0.297656	0.0636204	0.114774	0.114774
300	-0.170163	0.294731	0.294731	0.0656138	0.113646	0.113646
301	-0.175281	0.291717	0.291717	0.0675872	0.112484	0.112484
302	-0.180346	0.288613	0.288613	0.06954	0.111287	0.111287
303	-0.185355	0.285422	0.285422	0.0714717	0.110057	0.110057
304	-0.190308	0.282144	0.282144	0.0733815	0.108793	0.108793
305	-0.195203	0.278779	0.278779	0.075269	0.107495	0.107495
306	-0.200039	0.27533	0.27533	0.0771336	0.106165	0.106165
307	-0.204814	0.271797	0.271797	0.0789747	0.104803	0.104803
308	-0.209526	0.268181	0.268181	0.0807918	0.103409	0.103409
309	-0.214174	0.264483	0.264483	0.0825842	0.101983	0.101983
310	-0.218758	0.260705	0.260705	0.0843515	0.100526	0.100526
311	-0.223274	0.256848	0.256848	0.086093	0.0990387	0.0990387
312	-0.227723	0.252912	0.252912	0.0878084	0.0975211	0.0975211
313	-0.232102	0.248899	0.248899	0.089497	0.0959738	0.0959738
314	-0.236411	0.24481	0.24481	0.0911583	0.0943972	0.0943972
315	-0.240647	0.240647	0.240647	0.0927919	0.0927919	0.0927919
316	-0.24481	0.236411	0.236411	0.0943972	0.0911583	0.0911583
317	-0.248899	0.232102	0.232102	0.0959738	0.089497	0.089497
318	-0.252912	0.227723	0.227723	0.0975211	0.0878084	0.0878084
319	-0.256848	0.223274	0.223274	0.0990387	0.086093	0.086093
320	-0.260705	0.218758	0.218758	0.100526	0.0843515	0.0843515
321	-0.264483	0.214174	0.214174	0.101983	0.0825842	0.0825842
322	-0.268181	0.209526	0.209526	0.103409	0.0807918	0.0807918
323	-0.271797	0.204814	0.204814	0.104803	0.0789747	0.0789747
324	-0.27533	0.200039	0.200039	0.106165	0.0771336	0.0771336
325	-0.278779	0.195203	0.195203	0.107495	0.075269	0.075269
326	-0.282144	0.190308	0.190308	0.108793	0.0733815	0.0733815
327	-0.285422	0.185355	0.185355	0.110057	0.0714717	0.0714717
328	-0.288613	0.180346	0.180346	0.111287	0.06954	0.06954
329	-0.291717	0.175281	0.175281	0.112484	0.0675872	0.0675872
330	-0.294731	0.170163	0.170163	0.113646	0.0656138	0.0656138
331	-0.297656	0.164994	0.164994	0.114774	0.0636204	0.0636204
332	-0.300491	0.159774	0.159774	0.115867	0.0616076	0.0616076
333	-0.303233	0.154505	0.154505	0.116925	0.0595761	0.0595761
334	-0.305884	0.149189	0.149189	0.117947	0.0575264	0.0575264
335	-0.308441	0.143828	0.143828	0.118933	0.0554592	0.0554592
336	-0.310904	0.138423	0.138423	0.119882	0.0533751	0.0533751
337	-0.313272	0.132976	0.132976	0.120796	0.0512747	0.0512747
338	-0.315545	0.127489	0.127489	0.121672	0.0491587	0.0491587
339	-0.317722	0.121962	0.121962	0.122511	0.0470278	0.0470278
340	-0.319802	0.116399	0.116399	0.123314	0.0448825	0.0448825
341	-0.321785	0.1108	0.1108	0.124078	0.0427235	0.0427235
342	-0.32367	0.105167	0.105167	0.124805	0.0405516	0.0405516
343	-0.325456	0.0995019	0.0995019	0.125494	0.0383672	0.0383672
344	-0.327143	0.0938067	0.0938067	0.126144	0.0361712	0.0361712
345	-0.32873	0.088083	0.088083	0.126756	0.0339642	0.0339642
346	-0.330217	0.0823325	0.0823325	0.12733	0.0317468	0.0317468
347	-0.331604	0.0765568	0.0765568	0.127864	0.0295198	0.0295198
348	-0.33289	0.0707579	0.0707579	0.12836	0.0272837	0.0272837
349	-0.334074	0.0649374	0.0649374	0.128817	0.0250394	0.0250394
350	-0.335156	0.0590971	0.0590971	0.129234	0.0227874	0.0227874
351	-0.336137	0.0532388	0.0532388	0.129612	0.0205285	0.0205285
352	-0.337015	0.0473643	0.0473643	0.12995	0.0182633	0.0182633
353	-0.33779	0.0414754	0.0414754	0.130249	0.0159926	0.0159926
354	-0.338462	0.0355738	0.0355738	0.130509	0.013717	0.013717
355	-0.339032	0.0296614	0.0296614	0.130728	0.0114372	0.0114372
356	-0.339498	0.02374	0.02374	0.130908	0.00915397	0.00915397
357	-0.33986	0.0178113	0.0178113	0.131048	0.00686792	0.00686792
358	-0.340119	0.0118772	0.0118772	0.131148	0.00457978	0.00457978
359	-0.340275	0.00593952	0.00593952	0.131208	0.00229024	0.00229024
360	-0.340327	0	1.57954e-14	0.131228	0	6.09292e-15
