Theta	E_f	T_f_abl	T_f_kreuz	E_af	T_af_abl	T_af_kreuz
85	-0.0370211	0.423153	0.423153	0.0115289	0.131776	0.131776
86	-0.0296304	0.423734	0.423734	0.00922733	0.131957	0.131957
87	-0.0222307	0.424187	0.424187	0.00692295	0.132098	0.132098
88	-0.0148242	0.42451	0.42451	0.00461648	0.132199	0.132199
89	-0.00741324	0.424704	0.424704	0.00230859	0.132259	0.132259
90	7.26876e-16	0.424769	0.424769	-2.30542e-16	0.132279	0.132279
91	0.00741324	0.424704	0.424704	-0.00230859	0.132259	0.132259
92	0.0148242	0.42451	0.42451	-0.00461648	0.132199	0.132199
93	0.0222307	0.424187	0.424187	-0.00692295	0.132098	0.132098
94	0.0296304	0.423734	0.423734	-0.00922733	0.131957	0.131957
95	0.0370211	0.423153	0.423153	-0.0115289	0.131776	0.131776
96	0.0444005	0.422442	0.422442	-0.0138269	0.131554	0.131554
97	0.0517663	0.421603	0.421603	-0.0161208	0.131293	0.131293
98	0.0591164	0.420635	0.420635	-0.0184097	0.130992	0.130992
99	0.0664485	0.419539	0.419539	-0.020693	0.130651	0.130651
100	0.0737604	0.418316	0.418316	-0.02297	0.13027	0.13027
101	0.0810498	0.416965	0.416965	-0.02524	0.129849	0.129849
102	0.0883145	0.415487	0.415487	-0.0275024	0.129389	0.129389
103	0.0955522	0.413882	0.413882	-0.0297563	0.128889	0.128889
104	0.102761	0.412152	0.412152	-0.0320012	0.12835	0.12835
105	0.109938	0.410295	0.410295	-0.0342364	0.127772	0.127772
106	0.117082	0.408314	0.408314	-0.0364611	0.127155	0.127155
107	0.12419	0.406209	0.406209	-0.0386747	0.126499	0.126499
108	0.131261	0.403979	0.403979	-0.0408765	0.125805	0.125805
109	0.138291	0.401627	0.401627	-0.0430659	0.125072	0.125072
110	0.14528	0.399152	0.399152	-0.0452421	0.124302	0.124302
111	0.152224	0.396556	0.396556	-0.0474046	0.123493	0.123493
112	0.159121	0.393839	0.393839	-0.0495526	0.122647	0.122647
113	0.16597	0.391002	0.391002	-0.0516856	0.121764	0.121764
114	0.172769	0.388046	0.388046	-0.0538028	0.120843	0.120843
115	0.179515	0.384971	0.384971	-0.0559036	0.119886	0.119886
116	0.186206	0.38178	0.38178	-0.0579874	0.118892	0.118892
117	0.192841	0.378472	0.378472	-0.0600535	0.117862	0.117862
118	0.199417	0.375049	0.375049	-0.0621013	0.116796	0.116796
119	0.205932	0.371511	0.371511	-0.0641302	0.115694	0.115694
120	0.212385	0.367861	0.367861	-0.0661396	0.114557	0.114557
121	0.218772	0.364098	0.364098	-0.0681288	0.113385	0.113385
122	0.225093	0.360225	0.360225	-0.0700973	0.112179	0.112179
123	0.231346	0.356241	0.356241	-0.0720444	0.110939	0.110939
124	0.237528	0.352149	0.352149	-0.0739696	0.109664	0.109664
125	0.243638	0.34795	0.34795	-0.0758722	0.108357	0.108357
126	0.249673	0.343645	0.343645	-0.0777517	0.107016	0.107016
127	0.255632	0.339236	0.339236	-0.0796076	0.105643	0.105643
128	0.261514	0.334723	0.334723	-0.0814392	0.104237	0.104237
129	0.267316	0.330108	0.330108	-0.083246	0.1028	0.1028
130	0.273036	0.325392	0.325392	-0.0850274	0.101332	0.101332
131	0.278674	0.320577	0.320577	-0.0867829	0.0998323	0.0998323
132	0.284226	0.315665	0.315665	-0.088512	0.0983026	0.0983026
133	0.289692	0.310656	0.310656	-0.0902142	0.0967428	0.0967428
134	0.295069	0.305553	0.305553	-0.0918888	0.0951536	0.0951536
135	0.300357	0.300357	0.300357	-0.0935355	0.0935355	0.0935355
136	0.305553	0.295069	0.295069	-0.0951536	0.0918888	0.0918888
137	0.310656	0.289692	0.289692	-0.0967428	0.0902142	0.0902142
138	0.315665	0.284226	0.284226	-0.0983026	0.088512	0.088512
139	0.320577	0.278674	0.278674	-0.0998323	0.0867829	0.0867829
140	0.325392	0.273036	0.273036	-0.101332	0.0850274	0.0850274
141	0.330108	0.267316	0.267316	-0.1028	0.083246	0.083246
142	0.334723	0.261514	0.261514	-0.104237	0.0814392	0.0814392
143	0.339236	0.255632	0.255632	-0.105643	0.0796076	0.0796076
144	0.343645	0.249673	0.249673	-0.107016	0.0777517	0.0777517
145	0.34795	0.243638	0.243638	-0.108357	0.0758722	0.0758722
146	0.352149	0.237528	0.237528	-0.109664	0.0739696	0.0739696
147	0.356241	0.231346	0.231346	-0.110939	0.0720444	0.0720444
148	0.360225	0.225093	0.225093	-0.112179	0.0700973	0.0700973
149	0.364098	0.218772	0.218772	-0.113385	0.0681288	0.0681288
150	0.367861	0.212385	0.212385	-0.114557	0.0661396	0.0661396
151	0.371511	0.205932	0.205932	-0.115694	0.0641302	0.0641302
152	0.375049	0.199417	0.199417	-0.116796	0.0621013	0.0621013
153	0.378472	0.192841	0.192841	-0.117862	0.0600535	0.0600535
154	0.38178	0.186206	0.186206	-0.118892	0.0579874	0.0579874
155	0.384971	0.179515	0.179515	-0.119886	0.0559036	0.0559036
156	0.388046	0.172769	0.172769	-0.120843	0.0538028	0.0538028
157	0.391002	0.16597	0.16597	-0.121764	0.0516856	0.0516856
158	0.393839	0.159121	0.159121	-0.122647	0.0495526	0.0495526
159	0.396556	0.152224	0.152224	-0.123493	0.0474046	0.0474046
160	0.399152	0.14528	0.14528	-0.124302	0.0452421	0.0452421
161	0.401627	0.138291	0.138291	-0.125072	0.0430659	0.0430659
162	0.403979	0.131261	0.131261	-0.125805	0.0408765	0.0408765
163	0.406209	0.12419	0.12419	-0.126499	0.0386747	0.0386747
164	0.408314	0.117082	0.117082	-0.127155	0.0364611	0.0364611
165	0.410295	0.109938	0.109938	-0.127772	0.0342364	0.0342364
166	0.412152	0.102761	0.102761	-0.12835	0.0320012	0.0320012
167	0.413882	0.0955522	0.0955522	-0.128889	0.0297563	0.0297563
168	0.415487	0.0883145	0.0883145	-0.129389	0.0275024	0.0275024
169	0.416965	0.0810498	0.0810498	-0.129849	0.02524	0.02524
170	0.418316	0.0737604	0.0737604	-0.13027	0.02297	0.02297
171	0.419539	0.0664485	0.0664485	-0.130651	0.020693	0.020693
172	0.420635	0.0591164	0.0591164	-0.130992	0.0184097	0.0184097
173	0.421603	0.0517663	0.0517663	-0.131293	0.0161208	0.0161208
174	0.422442	0.0444005	0.0444005	-0.131554	0.0138269	0.0138269
175	0.423153	0.0370211	0.0370211	-0.131776	0.0115289	0.0115289
176	0.423734	0.0296304	0.0296304	-0.131957	0.00922733	0.00922733
177	0.424187	0.0222307	0.0222307	-0.132098	0.00692295	0.00692295
178	0.42451	0.0148242	0.0148242	-0.132199	0.00461647	0.00461648
179	0.424704	0.00741324	0.00741324	-0.132259	0.00230859	0.00230859
180	0.424769	1.38778e-09	4.58869e-15	-0.132279	6.93889e-10	1.43047e-15
181	0.424704	0.00741324	0.00741324	-0.132259	0.00230859	0.00230859
182	0.42451	0.0148242	0.0148242	-0.132199	0.00461647	0.00461648
183	0.424187	0.0222307	0.0222307	-0.132098	0.00692295	0.00692295
184	0.423734	0.0296304	0.0296304	-0.131957	0.00922733	0.00922733
185	0.423153	0.0370211	0.0370211	-0.131776	0.0115289	0.0115289
186	0.422442	0.0444005	0.0444005	-0.131554	0.0138269	0.0138269
187	0.421603	0.0517663	0.0517663	-0.131293	0.0161208	0.0161208
188	0.420635	0.0591164	0.0591164	-0.130992	0.0184097	0.0184097
189	0.419539	0.0664485	0.0664485	-0.130651	0.020693	0.020693
190	0.418316	0.0737604	0.0737604	-0.13027	0.02297	0.02297
191	0.416965	0.0810498	0.0810498	-0.129849	0.02524	0.02524
192	0.415487	0.0883145	0.0883145	-0.129389	0.0275024	0.0275024
193	0.413882	0.0955522	0.0955522	-0.128889	0.0297563	0.0297563
194	0.412152	0.102761	0.102761	-0.12835	0.0320012	0.0320012
195	0.410295	0.109938	0.109938	-0.127772	0.0342364	0.0342364
196	0.408314	0.117082	0.117082	-0.127155	0.0364611	0.0364611
197	0.406209	0.12419	0.12419	-0.126499	0.0386747	0.0386747
198	0.403979	0.131261	0.131261	-0.125805	0.0408765	0.0408765
199	0.401627	0.138291	0.138291	-0.125072	0.0430659	0.0430659
200	0.399152	0.14528	0.14528	-0.124302	0.0452421	0.0452421
201	0.396556	0.152224	0.152224	-0.123493	0.0474046	0.0474046
202	0.393839	0.159121	0.159121	-0.122647	0.0495526	0.0495526
203	0.391002	0.16597	0.16597	-0.121764	0.0516856	0.0516856
204	0.388046	0.172769	0.172769	-0.120843	0.0538028	0.0538028
205	0.384971	0.179515	0.179515	-0.119886	0.0559036	0.0559036
206	0.38178	0.186206	0.186206	-0.118892	0.0579874	0.0579874
207	0.378472	0.192841	0.192841	-0.117862	0.0600535	0.0600535
208	0.375049	0.199417	0.199417	-0.116796	0.0621013	0.0621013
209	0.371511	0.205932	0.205932	-0.115694	0.0641302	0.0641302
210	0.367861	0.212385	0.212385	-0.114557	0.0661396	0.0661396
211	0.364098	0.218772	0.218772	-0.113385	0.0681288	0.0681288
212	0.360225	0.225093	0.225093	-0.112179	0.0700973	0.0700973
213	0.356241	0.231346	0.231346	-0.110939	0.0720444	0.0720444
214	0.352149	0.237528	0.237528	-0.109664	0.0739696	0.0739696
215	0.34795	0.243638	0.243638	-0.108357	0.0758722	0.0758722
216	0.343645	0.249673	0.249673	-0.107016	0.0777517	0.0777517
217	0.339236	0.255632	0.255632	-0.105643	0.0796076	0.0796076
218	0.334723	0.261514	0.261514	-0.104237	0.0814392	0.0814392
219	0.330108	0.267316	0.267316	-0.1028	0.083246	0.083246
220	0.325392	0.273036	0.273036	-0.101332	0.0850274	0.0850274
221	0.320577	0.278674	0.278674	-0.0998323	0.0867829	0.0867829
222	0.315665	0.284226	0.284226	-0.0983026	0.088512	0.088512
223	0.310656	0.289692	0.289692	-0.0967428	0.0902142	0.0902142
224	0.305553	0.295069	0.295069	-0.0951536	0.0918888	0.0918888
225	0.300357	0.300357	0.300357	-0.0935355	0.0935355	0.0935355
226	0.295069	0.305553	0.305553	-0.0918888	0.0951536	0.0951536
227	0.289692	0.310656	0.310656	-0.0902142	0.0967428	0.0967428
228	0.284226	0.315665	0.315665	-0.088512	0.0983026	0.0983026
229	0.278674	0.320577	0.320577	-0.0867829	0.0998323	0.0998323
230	0.273036	0.325392	0.325392	-0.0850274	0.101332	0.101332
231	0.267316	0.330108	0.330108	-0.083246	0.1028	0.1028
232	0.261514	0.334723	0.334723	-0.0814392	0.104237	0.104237
233	0.255632	0.339236	0.339236	-0.0796076	0.105643	0.105643
234	0.249673	0.343645	0.343645	-0.0777517	0.107016	0.107016
235	0.243638	0.34795	0.34795	-0.0758722	0.108357	0.108357
236	0.237528	0.352149	0.352149	-0.0739696	0.109664	0.109664
237	0.231346	0.356241	0.356241	-0.0720444	0.110939	0.110939
238	0.225093	0.360225	0.360225	-0.0700973	0.112179	0.112179
239	0.218772	0.364098	0.364098	-0.0681288	0.113385	0.113385
240	0.212385	0.367861	0.367861	-0.0661396	0.114557	0.114557
241	0.205932	0.371511	0.371511	-0.0641302	0.115694	0.115694
242	0.199417	0.375049	0.375049	-0.0621013	0.116796	0.116796
243	0.192841	0.378472	0.378472	-0.0600535	0.117862	0.117862
244	0.186206	0.38178	0.38178	-0.0579874	0.118892	0.118892
245	0.179515	0.384971	0.384971	-0.0559036	0.119886	0.119886
246	0.172769	0.388046	0.388046	-0.0538028	0.120843	0.120843
247	0.16597	0.391002	0.391002	-0.0516856	0.121764	0.121764
248	0.159121	0.393839	0.393839	-0.0495526	0.122647	0.122647
249	0.152224	0.396556	0.396556	-0.0474046	0.123493	0.123493
250	0.14528	0.399152	0.399152	-0.0452421	0.124302	0.124302
251	0.138291	0.401627	0.401627	-0.0430659	0.125072	0.125072
252	0.131261	0.403979	0.403979	-0.0408765	0.125805	0.125805
253	0.12419	0.406209	0.406209	-0.0386747	0.126499	0.126499
254	0.117082	0.408314	0.408314	-0.0364611	0.127155	0.127155
255	0.109938	0.410295	0.410295	-0.0342364	0.127772	0.127772
256	0.102761	0.412152	0.412152	-0.0320012	0.12835	0.12835
257	0.0955522	0.413882	0.413882	-0.0297563	0.128889	0.128889
258	0.0883145	0.415487	0.415487	-0.0275024	0.129389	0.129389
259	0.0810498	0.416965	0.416965	-0.02524	0.129849	0.129849
260	0.0737604	0.418316	0.418316	-0.02297	0.13027	0.13027
261	0.0664485	0.419539	0.419539	-0.020693	0.130651	0.130651
262	0.0591164	0.420635	0.420635	-0.0184097	0.130992	0.130992
263	0.0517663	0.421603	0.421603	-0.0161208	0.131293	0.131293
264	0.0444005	0.422442	0.422442	-0.0138269	0.131554	0.131554
265	0.0370211	0.423153	0.423153	-0.0115289	0.131776	0.131776
266	0.0296304	0.423734	0.423734	-0.00922733	0.131957	0.131957
267	0.0222307	0.424187	0.424187	-0.00692295	0.132098	0.132098
268	0.0148242	0.42451	0.42451	-0.00461648	0.132199	0.132199
269	0.00741324	0.424704	0.424704	-0.00230859	0.132259	0.132259
270	1.21665e-14	0.424769	0.424769	-3.77363e-15	0.132279	0.132279
271	-0.00741324	0.424704	0.424704	0.00230859	0.132259	0.132259
272	-0.0148242	0.42451	0.42451	0.00461648	0.132199	0.132199
273	-0.0222307	0.424187	0.424187	0.00692295	0.132098	0.132098
274	-0.0296304	0.423734	0.423734	0.00922733	0.131957	0.131957
275	-0.0370211	0.423153	0.423153	0.0115289	0.131776	0.131776
276	-0.0444005	0.422442	0.422442	0.0138269	0.131554	0.131554
277	-0.0517663	0.421603	0.421603	0.0161208	0.131293	0.131293
278	-0.0591164	0.420635	0.420635	0.0184097	0.130992	0.130992
279	-0.0664485	0.419539	0.419539	0.020693	0.130651	0.130651
280	-0.0737604	0.418316	0.418316	0.02297	0.13027	0.13027
281	-0.0810498	0.416965	0.416965	0.02524	0.129849	0.129849
282	-0.0883145	0.415487	0.415487	0.0275024	0.129389	0.129389
283	-0.0955522	0.413882	0.413882	0.0297563	0.128889	0.128889
284	-0.102761	0.412152	0.412152	0.0320012	0.12835	0.12835
285	-0.109938	0.410295	0.410295	0.0342364	0.127772	0.127772
286	-0.117082	0.408314	0.408314	0.0364611	0.127155	0.127155
287	-0.12419	0.406209	0.406209	0.0386747	0.126499	0.126499
288	-0.131261	0.403979	0.403979	0.0408765	0.125805	0.125805
289	-0.138291	0.401627	0.401627	0.0430659	0.125072	0.125072
290	-0.14528	0.399152	0.399152	0.0452421	0.124302	0.124302
291	-0.152224	0.396556	0.396556	0.0474046	0.123493	0.123493
292	-0.159121	0.393839	0.393839	0.0495526	0.122647	0.122647
293	-0.16597	0.391002	0.391002	0.0516856	0.121764	0.121764
294	-0.172769	0.388046	0.388046	0.0538028	0.120843	0.120843
295	-0.179515	0.384971	0.384971	0.0559036	0.119886	0.119886
296	-0.186206	0.38178	0.38178	0.0579874	0.118892	0.118892
297	-0.192841	0.378472	0.378472	0.0600535	0.117862	0.117862
298	-0.199417	0.375049	0.375049	0.0621013	0.116796	0.116796
299	-0.205932	0.371511	0.371511	0.0641302	0.115694	0.115694
300	-0.212385	0.367861	0.367861	0.0661396	0.114557	0.114557
301	-0.218772	0.364098	0.364098	0.0681288	0.113385	0.113385
302	-0.225093	0.360225	0.360225	0.0700973	0.112179	0.112179
303	-0.231346	0.356241	0.356241	0.0720444	0.110939	0.110939
304	-0.237528	0.35215	0.352149	0.0739696	0.109664	0.109664
305	-0.243638	0.34795	0.34795	0.0758722	0.108357	0.108357
306	-0.249673	0.343645	0.343645	0.0777517	0.107016	0.107016
307	-0.255632	0.339236	0.339236	0.0796076	0.105643	0.105643
308	-0.261514	0.334723	0.334723	0.0814392	0.104237	0.104237
309	-0.267316	0.330108	0.330108	0.083246	0.1028	0.1028
310	-0.273036	0.325392	0.325392	0.0850274	0.101332	0.101332
311	-0.278674	0.320577	0.320577	0.0867829	0.0998323	0.0998323
312	-0.284226	0.315665	0.315665	0.088512	0.0983026	0.0983026
313	-0.289692	0.310656	0.310656	0.0902142	0.0967428	0.0967428
314	-0.295069	0.305553	0.305553	0.0918888	0.0951536	0.0951536
315	-0.300357	0.300357	0.300357	0.0935355	0.0935355	0.0935355
316	-0.305553	0.295069	0.295069	0.0951536	0.0918888	0.0918888
317	-0.310656	0.289692	0.289692	0.0967428	0.0902142	0.0902142
318	-0.315665	0.284226	0.284226	0.0983026	0.088512	0.088512
319	-0.320577	0.278674	0.278674	0.0998323	0.0867829	0.0867829
320	-0.325392	0.273036	0.273036	0.101332	0.0850274	0.0850274
321	-0.330108	0.267316	0.267316	0.1028	0.083246	0.083246
322	-0.334723	0.261514	0.261514	0.104237	0.0814392	0.0814392
323	-0.339236	0.255632	0.255632	0.105643	0.0796076	0.0796076
324	-0.343645	0.249673	0.249673	0.107016	0.0777517	0.0777517
325	-0.34795	0.243638	0.243638	0.108357	0.0758722	0.0758722
326	-0.352149	0.237528	0.237528	0.109664	0.0739696	0.0739696
327	-0.356241	0.231346	0.231346	0.110939	0.0720444	0.0720444
328	-0.360225	0.225093	0.225093	0.112179	0.0700973	0.0700973
329	-0.364098	0.218772	0.218772	0.113385	0.0681288	0.0681288
330	-0.367861	0.212385	0.212385	0.114557	0.0661396	0.0661396
331	-0.371511	0.205932	0.205932	0.115694	0.0641302	0.0641302
332	-0.375049	0.199417	0.199417	0.116796	0.0621013	0.0621013
333	-0.378472	0.192841	0.192841	0.117862	0.0600535	0.0600535
334	-0.38178	0.186206	0.186206	0.118892	0.0579874	0.0579874
335	-0.384971	0.179515	0.179515	0.119886	0.0559036	0.0559036
336	-0.388046	0.172769	0.172769	0.120843	0.0538028	0.0538028
337	-0.391002	0.16597	0.16597	0.121764	0.0516856	0.0516856
338	-0.393839	0.159121	0.159121	0.122647	0.0495526	0.0495526
339	-0.396556	0.152224	0.152224	0.123493	0.0474046	0.0474046
340	-0.399152	0.14528	0.14528	0.124302	0.0452421	0.0452421
341	-0.401627	0.138291	0.138291	0.125072	0.0430659	0.0430659
342	-0.403979	0.131261	0.131261	0.125805	0.0408765	0.0408765
343	-0.406209	0.12419	0.12419	0.126499	0.0386747	0.0386747
344	-0.408314	0.117082	0.117082	0.127155	0.0364611	0.0364611
345	-0.410295	0.109938	0.109938	0.127772	0.0342364	0.0342364
346	-0.412152	0.102761	0.102761	0.12835	0.0320012	0.0320012
347	-0.413882	0.0955522	0.0955522	0.128889	0.0297563	0.0297563
348	-0.415487	0.0883145	0.0883145	0.129389	0.0275024	0.0275024
349	-0.416965	0.0810498	0.0810498	0.129849	0.02524	0.02524
350	-0.418316	0.0737604	0.0737604	0.13027	0.02297	0.02297
351	-0.419539	0.0664485	0.0664485	0.130651	0.020693	0.020693
352	-0.420635	0.0591164	0.0591164	0.130992	0.0184097	0.0184097
353	-0.421603	0.0517663	0.0517663	0.131293	0.0161208	0.0161208
354	-0.422442	0.0444005	0.0444005	0.131554	0.0138269	0.0138269
355	-0.423153	0.0370211	0.0370211	0.131776	0.0115289	0.0115289
356	-0.423734	0.0296304	0.0296304	0.131957	0.00922733	0.00922733
357	-0.424187	0.0222307	0.0222307	0.132098	0.00692295	0.00692295
358	-0.42451	0.0148242	0.0148242	0.132199	0.00461647	0.00461648
359	-0.424704	0.00741324	0.00741324	0.132259	0.00230859	0.00230859
360	-0.424769	5.55112e-10	1.97315e-14	0.132279	8.32667e-10	6.14617e-15
